country	DQ164190_Cb_NY_2003.5	40.95	-72.64
country	DQ164191_Cb_NY_2003.5	42.23	-79.52
country	DQ164192_Cb_NY_2003.5	41.16	-73.99
country	DQ164193_Cb_NY_2002.5	44.85	-73.66
country	DQ164194_Cb_NY_2001.5	40.95	-72.64
country	DQ164195_Cx_NY_2002.5	40.67	-73.56
country	DQ164196_Hs_GA_2002.5	32.68	-83.25
country	DQ164197_Hs_GA_2002.5	32.68	-83.25
country	DQ164198_Hs_TX_2002.5	31.17	-100.08
country	DQ164199_Hs_TX_2003.5	31.17	-100.08
country	DQ164200_Hs_IN_2002.5	39.77	-86.44
country	DQ164201_Hs_AZ_2004.5	34.17	-111.93
country	DQ164202_Hs_OH_2002.5	40.19	-82.67
country	DQ164203_Ph_CO_2003.5	39.00	-105.55
country	DQ164204_Bj_CO_2003.5	39.00	-105.55
country	DQ164205_Hs_TX_2002.5	31.17	-100.08
country	DQ164206_Cc_TX_2004.5	29.77	-95.31
country	DQ176637_Qq_TX_2002.5	34.45	-100.69
country	DQ431693_Hs_TX_2003.6	35.08	-102.05
country	DQ431694_Hs_TX_2003.62	34.65	-102.75
country	DQ431695_Hs_IL_2003.5	42.08	-87.82
country	DQ431696_Hs_WI_2003.7	43.04	-87.91
country	DQ431697_Hs_FL_2003.56	27.98	-82.34
country	DQ431698_Hs_FL_2003.65	27.98	-82.34
country	DQ431699_Hs_FL_2003.73	27.98	-82.34
country	DQ431700_Hs_CA_2004.5	37.78	-122.46
country	DQ431701_Hs_CO_2004.53	39.07	-108.54
country	DQ431702_Hs_CO_2004.57	39.07	-108.54
country	DQ431703_Hs_CO_2004.57	39.07	-108.54
country	DQ431704_Hs_CO_2004.57	39.07	-108.54
country	DQ431705_Hs_SD_2004.52	44.07	-103.21
country	DQ431706_Hs_NM_2004.57	35.20	-106.64
country	DQ431707_Hs_NM_2004.58	35.20	-106.64
country	DQ431708_Hs_CA_2004.54	32.73	-117.17
country	DQ431709_Hs_CA_2004.54	34.06	-117.67
country	DQ431710_Hs_CA_2004.58	33.94	-117.95
country	DQ431711_Hs_AZ_2004.5	33.41	-111.93
country	DQ431712_Hs_AZ_2004.57	33.41	-111.93
country	DQ666448_Hs_AZ_2004.5	34.17	-111.93
country	DQ666449_Hs_TX_2005.5	31.17	-100.08
country	DQ666450_Hs_TX_2005.5	31.17	-100.08
country	DQ666451_Hs_AZ_2005.5	34.17	-111.93
country	DQ666452_Hs_SD_2005.5	44.22	-100.25
country	DQ983578_Cn_FL_2003.5	27.64	-80.68
country	FJ151394_Cb_NY_1999.5	40.77	-73.99
country	GQ507468_Hs_TX_2005.59	31.82	-106.56
country	GQ507469_Hs_NM_2005.67	32.28	-106.74
country	GQ507470_Hs_TX_2006.66	31.78	-106.50
country	GQ507471_Hs_TX_2007.48	31.84	-106.53
country	GQ507472_Hs_CA_2003.53	33.81	-117.83
country	GQ507473_Hs_CA_2004.56	34.22	-118.44
country	GQ507474_Hs_CA_2004.66	34.14	-117.15
country	GQ507475_Hs_CA_2004.49	34.04	-117.02
country	GQ507476_Hs_CA_2005.57	33.95	-117.73
country	GQ507477_Hs_CA_2005.58	33.85	-118.15
country	GQ507478_Hs_CA_2005.65	33.84	-118.08
country	GQ507479_Hs_AZ_2005.69	32.31	-111.21
country	GQ507480_Hs_CA_2005.76	33.95	-118.20
country	GQ507481_Hs_NE_2006.64	41.26	-96.12
country	GQ507482_Hs_AZ_2006.67	32.24	-110.92
country	GQ507483_Hs_CA_2007.59	34.10	-117.91
country	GQ507484_Hs_CA_2007.63	34.24	-118.52
country	KF704147.1_Cq_AZ_2010.6	33.54	-112.19
country	KF704153.1_Cq_AZ_2010.58	33.35	-111.79
country	KF704158.1_Cq_AZ_2010.58	33.35	-111.79
country	KR348915.1_Ct_CA_2011.66	37.98	-121.58
country	KR348916.1_Ct_CA_2008.63	38.00	-121.68
country	KR348917.1_Ct_CA_2008.37	38.01	-121.80
country	KR348918.1_Cp_CA_2011.9	38.01	-122.04
country	KR348919.1_Ct_CA_2009.58	38.00	-121.62
country	KR348920.1_Ct_CA_2009.18	38.01	-121.80
country	KR348921.1_Cp_CA_2009.18	38.01	-121.80
country	KR348922.1_Ct_CA_2009.63	37.89	-121.59
country	KR348923.1_Ct_CA_2003.63	33.28	-115.58
country	KR348924.1_Ct_CA_2003.63	33.18	-115.61
country	KR348925.1_Ct_CA_2003.63	33.18	-115.61
country	KR348926.1_Ct_CA_2008.93	33.54	-116.01
country	KR348927.1_Ct_CA_2003.7	33.28	-115.58
country	KR348928.1_Ct_CA_2007.77	33.54	-116.08
country	KR348929.1_Ct_CA_2008.77	33.53	-115.99
country	KR348930.1_Ct_CA_2009.02	33.53	-116.08
country	KR348931.1_Ct_CA_2009.02	33.54	-116.08
country	KR348932.1_Ct_CA_2007.72	33.54	-116.13
country	KR348933.1_Ct_CA_2008.19	33.57	-116.08
country	KR348934.1_Ct_CA_2007.72	33.53	-116.10
country	KR348935.1_Ct_CA_2005.41	33.51	-115.93
country	KR348936.1_Cq_CA_2008.74	33.81	-116.50
