virus	strain	date	country	source	county	state
WNV	WNV_2cH8_Ct_AZ_08.28.17_2017.657534	2017-08-28	WNV_2cH8_Ct_AZ_08.28.17_2017.657534	Hepp	YUMA	AZ
WNV	WNV_3_1069023_Ct_MT_08.30.16_2016.663934	2016-08-30	WNV_3_1069023_Ct_MT_08.30.16_2016.663934	Hepp	MTDOH	MT
WNV	WNV_3_1107139_Ct_MT_08.31.18_2018.665753	2018-08-31	WNV_3_1107139_Ct_MT_08.31.18_2018.665753	Hepp	MTDOH	MT
WNV	WNV_3168_Ct_CA_08.08.17_2017.60274	2017-08-09	WNV_3168_Ct_CA_08.08.17_2017.60274	Hepp	COAV	CA
WNV	WNV_3285_1107027_Ct_MT_08.21.18_2018.638356	2018-08-21	WNV_3285_1107027_Ct_MT_08.21.18_2018.638356	Hepp	MTDOH	MT
WNV	WNV_3288_1107030_Ct_MT_08.12.18_2018.613699	2018-08-13	WNV_3288_1107030_Ct_MT_08.12.18_2018.613699	Hepp	MTDOH	MT
WNV	WNV_3315_Ct_CA_08.22.17_2017.641096	2017-08-23	WNV_3315_Ct_CA_08.22.17_2017.641096	Hepp	COAV	CA
WNV	WNV_3409_Ct_CA_08.29.17_2017.660274	2017-08-30	WNV_3409_Ct_CA_08.29.17_2017.660274	Hepp	COAV	CA
WNV	WNV_3507_Ct_CA_09.06.17_2017.682192	2017-09-07	WNV_3507_Ct_CA_09.06.17_2017.682192	Hepp	COAV	CA
WNV	WNV_3510_Ct_CA_09.06.17_2017.682192	2017-09-07	WNV_3510_Ct_CA_09.06.17_2017.682192	Hepp	COAV	CA
WNV	WNV_3aG5_Ct_AZ_08.14.17_2017.619178	2017-08-14	WNV_3aG5_Ct_AZ_08.14.17_2017.619178	Hepp	YUMA	AZ
WNV	WNV_6cF10_Ct_AZ_08.28.17_2017.657534	2017-08-28	WNV_6cF10_Ct_AZ_08.28.17_2017.657534	Hepp	YUMA	AZ
WNV	WNV_7cB7_Ct_AZ_08.14.17_2017.619178	2017-08-14	WNV_7cB7_Ct_AZ_08.14.17_2017.619178	Hepp	YUMA	AZ
WNV	WNV_7cD10_Ct_AZ_08.28.17_2017.657534	2017-08-28	WNV_7cD10_Ct_AZ_08.28.17_2017.657534	Hepp	YUMA	AZ
WNV	WNV_808T_P1_Cp_WA_08.02.18_2018.586301	2018-08-02	WNV_808T_P1_Cp_WA_08.02.18_2018.586301	Hepp	WADOH	WA
WNV	WNV_814G_P10_Ct_WA_08.14.18_2018.619178	2018-08-14	WNV_814G_P10_Ct_WA_08.14.18_2018.619178	Hepp	WADOH	WA
WNV	WNV_814G_P8_Cp_WA_08.14.18_2018.619178	2018-08-14	WNV_814G_P8_Cp_WA_08.14.18_2018.619178	Hepp	WADOH	WA
WNV	WNV_815T_P1_Cp_WA_08.15.18_2018.621918	2018-08-16	WNV_815T_P1_Cp_WA_08.15.18_2018.621918	Hepp	WADOH	WA
WNV	WNV_AmpSeqMERGED_Ct_AZ_06.09.15_2015.438356	2015-06-09	WNV_AmpSeqMERGED_Ct_AZ_06.09.15_2015.438356	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_06.26.14_2014.484932	2014-06-27	WNV_AmpSeqMERGED_Cq_AZ_06.26.14_2014.484932	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Ct_AZ_10.20.16_2016.803279	2016-10-21	WNV_AmpSeqMERGED_Ct_AZ_10.20.16_2016.803279	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Ct_AZ_05.11.16_2016.360656	2016-05-12	WNV_AmpSeqMERGED_Ct_AZ_05.11.16_2016.360656	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_08.05.15_2015.594521	2015-08-06	WNV_AmpSeqMERGED_Cq_AZ_08.05.15_2015.594521	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_06.03.14_2014.421918	2014-06-04	WNV_AmpSeqMERGED_Cq_AZ_06.03.14_2014.421918	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_06.28.16_2016.491803	2016-06-28	WNV_AmpSeqMERGED_Cq_AZ_06.28.16_2016.491803	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Ct_AZ_07.22.14_2014.556164	2014-07-22	WNV_AmpSeqMERGED_Ct_AZ_07.22.14_2014.556164	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_08.25.16_2016.650273	2016-08-25	WNV_AmpSeqMERGED_Cq_AZ_08.25.16_2016.650273	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_08.28.14_2014.657534	2014-08-28	WNV_AmpSeqMERGED_Cq_AZ_08.28.14_2014.657534	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_10.07.15_2015.767123	2015-10-07	WNV_AmpSeqMERGED_Cq_AZ_10.07.15_2015.767123	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_06.10.14_2014.441096	2014-06-11	WNV_AmpSeqMERGED_Cq_AZ_06.10.14_2014.441096	Hepp	MARICOPA	AZ
WNV	WNV_AmpSeqMERGED_Cq_AZ_05.12.15_2015.361644	2015-05-13	WNV_AmpSeqMERGED_Cq_AZ_05.12.15_2015.361644	Hepp	MARICOPA	AZ
WNV	WNV_CC1416051_64_Cq_AZ_07.29.14_2014.575342	2014-07-29	WNV_CC1416051_64_Cq_AZ_07.29.14_2014.575342	Hepp	MARICOPA	AZ
WNV	WNV_CC1417436_17_Cq_AZ_08.14.14_2014.619178	2014-08-14	WNV_CC1417436_17_Cq_AZ_08.14.14_2014.619178	Hepp	MARICOPA	AZ
WNV	WNV_CC1617128_0_Cq_AZ_09.22.16_2016.726776	2016-09-23	WNV_CC1617128_0_Cq_AZ_09.22.16_2016.726776	Hepp	MARICOPA	AZ
WNV	WNV_CC1909932_R794_A8_Cq_AZ_05.21.19_2019.389445	2019-05-23	WNV_CC1909932_R794_A8_Cq_AZ_05.21.19_2019.389445	Hepp	MARICOPA	AZ
WNV	WNV_CheshireDam_Tube_Ct_08272019_2019.655031	2019-08-28	WNV_CheshireDam_Tube_Ct_08272019_2019.655031	Hepp	COCONINO	AZ
WNV	WNV_LakeMaryPond_Tube_Ct_08202019_2019.635866	2019-08-21	WNV_LakeMaryPond_Tube_Ct_08202019_2019.635866	Hepp	COCONINO	AZ
WNV	WNV_RT_1689055D4_Ct_AZ_06.15.18_2018.454795	2018-06-16	WNV_RT_1689055D4_Ct_AZ_06.15.18_2018.454795	Hepp	MARICOPA	AZ
WNV	WNV_90_Cq_AZ_07.18.14_2014.545205	2014-07-18	WNV_90_Cq_AZ_07.18.14_2014.545205	Hepp	MARICOPA	AZ
WNV	WNV_35_Cq_AZ_06.03.14_2014.421918	2014-06-04	WNV_35_Cq_AZ_06.03.14_2014.421918	Hepp	MARICOPA	AZ
WNV	WNV_Q543_D6_Ct_AZ_04.18.19_2019.299094	2019-04-20	WNV_Q543_D6_Ct_AZ_04.18.19_2019.299094	Hepp	MARICOPA	AZ
WNV	WNV_56_Ct_AZ_09292015_2015.74538	2015-09-30	WNV_56_Ct_AZ_09292015_2015.74538	Hepp	UTAH	AZ
WNV	WNV_63_Cq_AZ_09292015_2015.74538	2015-09-30	WNV_63_Cq_AZ_09292015_2015.74538	Hepp	UTAH	AZ
WNV	WNV_MERGED_Cq_AZ_06.22.17_2017.473974	2017-06-23	WNV_MERGED_Cq_AZ_06.22.17_2017.473974	Hepp	MARICOPA	AZ
WNV	WNV_Z567_A1_Cq_AZ_05.09.19_2019.35659	2019-05-11	WNV_Z567_A1_Cq_AZ_05.09.19_2019.35659	Hepp	MARICOPA	AZ
WNV	WNV_73_Cq_AZ_07.23.14_2014.558904	2014-07-23	WNV_73_Cq_AZ_07.23.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_5B21_A7_Cq_AZ_06.04.19_2019.427776	2019-06-06	WNV_5B21_A7_Cq_AZ_06.04.19_2019.427776	Hepp	MARICOPA	AZ
WNV	WNV_10_Cq_AZ_07.09.14_2014.520548	2014-07-10	WNV_10_Cq_AZ_07.09.14_2014.520548	Hepp	MARICOPA	AZ
WNV	WNV_3B92_H10_Cq_AZ_06.04.19_2019.427776	2019-06-06	WNV_3B92_H10_Cq_AZ_06.04.19_2019.427776	Hepp	MARICOPA	AZ
WNV	WNV_V008_B9_Cq_AZ_03.27.19_2019.23886	2019-03-29	WNV_V008_B9_Cq_AZ_03.27.19_2019.23886	Hepp	MARICOPA	AZ
WNV	WNV_9A07_C2_Cq_AZ_05.17.19_2019.378494	2019-05-19	WNV_9A07_C2_Cq_AZ_05.17.19_2019.378494	Hepp	MARICOPA	AZ
WNV	WNV_F10_Ct_AZ_09.07.17_2017.684932	2014-10-15	WNV_F10_Ct_AZ_09.07.17_2017.684932	Hepp	MARICOPA	AZ
WNV	WNV_11_Cq_AZ_09292015_2015.74538	2015-09-30	WNV_11_Cq_AZ_09292015_2015.74538	Hepp	MARICOPA	AZ
WNV	WNV_488D11_Ct_AZ_07.26.18_2018.567123	2018-07-26	WNV_488D11_Ct_AZ_07.26.18_2018.567123	Hepp	MARICOPA	AZ
WNV	WNV_149G4_Ct_AZ_06.22.18_2018.473973	2018-06-23	WNV_149G4_Ct_AZ_06.22.18_2018.473973	Hepp	MARICOPA	AZ
WNV	WNV_050B3_Ct_AZ_06.15.18_2018.454795	2018-06-16	WNV_050B3_Ct_AZ_06.15.18_2018.454795	Hepp	MARICOPA	AZ
WNV	WNV_48_Cq_AZ_06102015_2015.441478	2015-06-11	WNV_48_Cq_AZ_06102015_2015.441478	Hepp	MARICOPA	AZ
WNV	WNV_74_Cq_AZ_07.23.14_2014.558904	2014-07-23	WNV_74_Cq_AZ_07.23.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.08.17_2017.435616	2017-06-08	WNV_MERGED_Cq_AZ_06.08.17_2017.435616	Hepp	MARICOPA	AZ
WNV	WNV_4_Cq_AZ_11.21.14_2014.890411	2014-11-22	WNV_4_Cq_AZ_11.21.14_2014.890411	Hepp	MARICOPA	AZ
WNV	WNV_78_Cq_AZ_10142015_2015.786448	2015-10-15	WNV_78_Cq_AZ_10142015_2015.786448	Hepp	MARICOPA	AZ
WNV	WNV_7B06_B12_Cq_AZ_06.04.19_2019.427776	2019-06-06	WNV_7B06_B12_Cq_AZ_06.04.19_2019.427776	Hepp	MARICOPA	AZ
WNV	WNV_13_Cq_AZ_10.07.16_2016.76776	2016-10-08	WNV_13_Cq_AZ_10.07.16_2016.76776	Hepp	MARICOPA	AZ
WNV	WNV_66H6_Cq_AZ_07.10.18_2018.523288	2018-07-11	WNV_66H6_Cq_AZ_07.10.18_2018.523288	Hepp	MARICOPA	AZ
WNV	WNV_10_Cq_AZ_07232015_2015.559206	2015-07-24	WNV_10_Cq_AZ_07232015_2015.559206	Hepp	MARICOPA	AZ
WNV	WNV_11_Cq_AZ_07182015_2015.545517	2015-07-19	WNV_11_Cq_AZ_07182015_2015.545517	Hepp	MARICOPA	AZ
WNV	WNV_27_Cq_AZ_07282015_2015.572895	2015-07-29	WNV_27_Cq_AZ_07282015_2015.572895	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.02.17_2017.419178	2017-06-02	WNV_MERGED_Cq_AZ_06.02.17_2017.419178	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.01.17_2017.416437	2017-06-01	WNV_MERGED_Cq_AZ_06.01.17_2017.416437	Hepp	MARICOPA	AZ
WNV	WNV_30_Cq_AZ_07.02.14_2014.50137	2014-07-03	WNV_30_Cq_AZ_07.02.14_2014.50137	Hepp	MARICOPA	AZ
WNV	WNV_79_Ct_AZ_07.23.14_2014.558904	2014-07-23	WNV_79_Ct_AZ_07.23.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.20.17_2017.468493	2017-06-20	WNV_MERGED_Cq_AZ_06.20.17_2017.468493	Hepp	MARICOPA	AZ
WNV	WNV_88_Cq_AZ_07.18.14_2014.558904	2014-07-23	WNV_88_Cq_AZ_07.18.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_0_Ct_AZ_09.09.16_2016.691257	2016-09-10	WNV_0_Ct_AZ_09.09.16_2016.691257	Hepp	MARICOPA	AZ
WNV	WNV_Q244_G4_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q244_G4_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_Q267_F9_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q267_F9_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_05.26.17_2017.4	2017-05-27	WNV_MERGED_Ct_AZ_05.26.17_2017.4	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_05.26.17_2017.4(2)	2017-05-27	WNV_MERGED_Ct_AZ_05.26.17_2017.4(2)	Hepp	MARICOPA	AZ
WNV	WNV_26_Cq_AZ_08.20.14_2018.39726	2018-05-25	WNV_26_Cq_AZ_08.20.14_2018.39726	Hepp	MARICOPA	AZ
WNV	WNV_33_Ct_AZ_07282015_2015.572895	2015-07-29	WNV_33_Ct_AZ_07282015_2015.572895	Hepp	MARICOPA	AZ
WNV	WNV_Q225_F1_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q225_F1_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_X549_F11_Ct_AZ_05.03.19_2019.340163	2019-05-05	WNV_X549_F11_Ct_AZ_05.03.19_2019.340163	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_06.20.17_2017.468493	2017-06-20	WNV_MERGED_Ct_AZ_06.20.17_2017.468493	Hepp	MARICOPA	AZ
WNV	WNV_Q441_F6_Ct_AZ_04.23.19_2019.312784	2019-04-25	WNV_Q441_F6_Ct_AZ_04.23.19_2019.312784	Hepp	MARICOPA	AZ
WNV	WNV_3B93_B9_Ct_AZ_06.04.19_2019.427776	2019-06-06	WNV_3B93_B9_Ct_AZ_06.04.19_2019.427776	Hepp	MARICOPA	AZ
WNV	WNV_61_Cq_AZ_05122015_2015.362081	2015-05-13	WNV_61_Cq_AZ_05122015_2015.362081	Hepp	MARICOPA	AZ
WNV	WNV_Q226_C10_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q226_C10_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_Q255_B3_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q255_B3_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_Q268_G9_Cq_AZ_04.11.19_2019.279929	2019-04-13	WNV_Q268_G9_Cq_AZ_04.11.19_2019.279929	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_06.16.17_2017.457534	2017-06-16	WNV_MERGED_Ct_AZ_06.16.17_2017.457534	Hepp	MARICOPA	AZ
WNV	WNV_50_Cq_AZ_06092015_2015.438741	2015-06-10	WNV_50_Cq_AZ_06092015_2015.438741	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.15.17_2017.454795	2017-06-16	WNV_MERGED_Cq_AZ_06.15.17_2017.454795	Hepp	MARICOPA	AZ
WNV	WNV_E9_Ct_AZ_09.19.17_2017.717808	2017-09-19	WNV_E9_Ct_AZ_09.19.17_2017.717808	Hepp	MARICOPA	AZ
WNV	WNV_Z043_D4_Ct_AZ_05.17.19_2019.378494	2019-05-19	WNV_Z043_D4_Ct_AZ_05.17.19_2019.378494	Hepp	MARICOPA	AZ
WNV	WNV_Z132_H4_Ct_AZ_05.17.19_2019.378494	2019-05-19	WNV_Z132_H4_Ct_AZ_05.17.19_2019.378494	Hepp	MARICOPA	AZ
WNV	WNV_X696_F1_Ct_AZ_05.14.19_2019.37028	2019-05-16	WNV_X696_F1_Ct_AZ_05.14.19_2019.37028	Hepp	MARICOPA	AZ
WNV	WNV_0_Cq_AZ_07.23.14_2014.558904	2014-07-23	WNV_0_Cq_AZ_07.23.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_63_Cq_AZ_05122015_2015.362081	2015-05-13	WNV_63_Cq_AZ_05122015_2015.362081	Hepp	MARICOPA	AZ
WNV	WNV_2A29_G10_Cq_AZ_05.09.19_2019.35659	2019-05-11	WNV_2A29_G10_Cq_AZ_05.09.19_2019.35659	Hepp	MARICOPA	AZ
WNV	WNV_817F8_Cq_AZ_06.27.18_2018.487671	2018-06-27	WNV_817F8_Cq_AZ_06.27.18_2018.487671	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_06.01.17_2017.416438	2017-06-01	WNV_MERGED_Ct_AZ_06.01.17_2017.416438	Hepp	MARICOPA	AZ
WNV	WNV_3_Ct_AZ_07.16.14_2014.539726	2014-07-16	WNV_3_Ct_AZ_07.16.14_2014.539726	Hepp	MARICOPA	AZ
WNV	WNV_9_Cq_AZ_06.18.14_2014.463014	2014-06-19	WNV_9_Cq_AZ_06.18.14_2014.463014	Hepp	MARICOPA	AZ
WNV	WNV_0_Ct_AZ_10.11.16_2016.778689	2016-10-12	WNV_0_Ct_AZ_10.11.16_2016.778689	Hepp	MARICOPA	AZ
WNV	WNV_7_Ct_AZ_06.18.14_2014.463014	2014-06-19	WNV_7_Ct_AZ_06.18.14_2014.463014	Hepp	MARICOPA	AZ
WNV	WNV_75_Cq_AZ_07.23.14_2014.558904	2014-07-23	WNV_75_Cq_AZ_07.23.14_2014.558904	Hepp	MARICOPA	AZ
WNV	WNV_13_Cq_AZ_07.09.14_2014.520548	2014-07-10	WNV_13_Cq_AZ_07.09.14_2014.520548	Hepp	MARICOPA	AZ
WNV	WNV_43_Ct_AZ_06112015_2015.444216	2015-06-12	WNV_43_Ct_AZ_06112015_2015.444216	Hepp	MARICOPA	AZ
WNV	WNV_6A43_A6_Ct_AZ_05.16.19_2019.375756	2019-05-18	WNV_6A43_A6_Ct_AZ_05.16.19_2019.375756	Hepp	MARICOPA	AZ
WNV	WNV_D10_Ct_AZ_09.27.17_2017.739726	2017-09-27	WNV_D10_Ct_AZ_09.27.17_2017.739726	Hepp	MARICOPA	AZ
WNV	WNV_12_Cq_AZ_10.02.14_2014.753425	2014-10-03	WNV_12_Cq_AZ_10.02.14_2014.753425	Hepp	MARICOPA	AZ
WNV	WNV_57_Cq_AZ_08.28.14_2014.657534	2014-08-28	WNV_57_Cq_AZ_08.28.14_2014.657534	Hepp	MARICOPA	AZ
WNV	WNV_AMERGED_Cq_AZ_06.02.17_2017.419178	2017-06-02	WNV_AMERGED_Cq_AZ_06.02.17_2017.419178	Hepp	MARICOPA	AZ
WNV	WNV_BMERGED_Cq_AZ_06.02.17_2017.419178	2017-06-02	WNV_BMERGED_Cq_AZ_06.02.17_2017.419178	Hepp	MARICOPA	AZ
WNV	WNV_CMERGED_Cq_AZ_06.09.17_2017.438356	2017-06-09	WNV_CMERGED_Cq_AZ_06.09.17_2017.438356	Hepp	MARICOPA	AZ
WNV	WNV_65_Cq_AZ_05072015_2015.348392	2015-05-08	WNV_65_Cq_AZ_05072015_2015.348392	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.22.17_2017.473973	2017-06-23	WNV_MERGED_Cq_AZ_06.22.17_2017.473973	Hepp	MARICOPA	AZ
WNV	WNV_56_Cq_AZ_05282015_2015.405886	2015-05-29	WNV_56_Cq_AZ_05282015_2015.405886	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Ct_AZ_06.15.17_2017.454795	2017-06-16	WNV_MERGED_Ct_AZ_06.15.17_2017.454795	Hepp	MARICOPA	AZ
WNV	WNV_87_Ct_AZ_07.25.14_2014.564384	2014-07-26	WNV_87_Ct_AZ_07.25.14_2014.564384	Hepp	MARICOPA	AZ
WNV	WNV_92_Ct_AZ_07.18.14_2014.545205	2014-07-18	WNV_92_Ct_AZ_07.18.14_2014.545205	Hepp	MARICOPA	AZ
WNV	WNV_254B4_Ct_AZ_07.26.18_2018.567123	2018-07-26	WNV_254B4_Ct_AZ_07.26.18_2018.567123	Hepp	MARICOPA	AZ
WNV	WNV_MERGED_Cq_AZ_06.01.17_2017.416438	2017-06-01	WNV_MERGED_Cq_AZ_06.01.17_2017.416438	Hepp	MARICOPA	AZ
